id,name,unit_type
1,GROBEL NPK 4-3-3+1MgO,mass
2,Activit 4-3-2,pack
3,Fertiplus 4-2-10,pack
4,Nutri Smart Active Eco-Fertilizer,mass
5,BG Soil,pack
6,Grobel NPK 4-3-3 +1 MgO,pack
7,Greenferti 4-3-3-1,pack
8,MixO’Plus,pack
9,Fertilife 4-3-5 Organic Granulated Fertilizer,mass
10,Sulphate of Potash,mass
11,Fertiplus Cow,volume
12,Alfalfa Meal,pack
13,Bat Guano,volume
14,Fish Emulsion,mass
15,Cotton Seed Meal,pack
16,Corn Gluten Meal,pack
17,Seaweed,mass
18,Cow Manure,pack
19,Chicken Manure,mass
20,Greensand,mass
21,Compost,mass
22,Soybean Meal,pack
23,Blood Meal,volume
24,Bone Meal,mass
25,Feather Meal,volume
26,Fish Meal,pack
27,Sea-90,volume
28,Fox Farm,volume
29,Rock Phosphate,pack
30,Kelp Meal,mass
31,Earthworm Castings,volume
32,Mushroom Compost,volume
33,Explorer 16-0-0,mass
34,Nitrogreen,pack
35,Espoma Meal,volume
36,Urea 46-0-0,mass
37,Milorganite,pack
38,Espoma Organic Garden-tone,mass
39,Jobes 09026NA,mass
40,Scotts Miracle-Gro,volume
41,Alaska Fish Fertilizer,volume
42,Natures Touch,pack
43,Bayer Advanced,mass
44,PGF Complete 16-4-8,mass
45,RInger 3050 Compost Plus,pack
46,Schultz All Purpose 10-15-10 Plant Food,volume
47,Neptunes Harvest Fish Fertilizer,mass
48,Lesco Starter Fertilizer,mass
49,Florin-Gro Nitrogen Fertilizer,mass
50,Azomite Trace Mineral Fertilizer,volume
51,Milorganite 5-2-0 Organic Nitrogen Fertilizer,pack
52,Howard Johnsons 713535 Pounds Nitrogen Fertilizer,volume
53,Espoma Urea-45-0-0-5,mass
54,GreenSense Blood Meal,pack
55,Natural Organic Fertilizer,pack
56,Rapeseed Cake Organic Fertilizer,volume
57,Nitrex Liquid Organic Fertilizer,mass
58,Botanicare Pure Blend Pro Grow,volume
59,Pelletized Peruvian Seabird Guano,pack
60,Bonide Organic Fertilizer,volume
61,Greener Leafy Blow,volume
62,Dyna-Gro DYFOL008 Foilage Pro,pack
63,Dyna-Gro MAG-008 Fertilizer,volume
64,Monopotassium Phosphate Fertilizer 0-52-34,pack
65,BioAdvanced 701710 8-11-5 Fertilizer,mass
66,RootBoost 100538120 Rooting Hormone Powder,volume
67,GreenView 2131254 Starter Fertilizer,pack
68,Liquinox 7128 Fish Emulsion 5-1-1 Fertilizer,pack
69,Pennington 100536576 UltraGreen Lawn Fertilizer,mass
70,Advanced Nutrients ANBGMBD500 Bloom Fertilizer,volume
71,Jacks Classic No.1.5 10-30-20 Blossom Booster Fertilizer,pack
72,Hyponex All-Purpose 10-10-10 Garden Fertilizer,pack
73,1pk AgroThrive Organic 3-3-2 General Purpose Fertilizer,pack
74,Hi-Yeild Garden Fertilizer,mass
75,Kellogg Garden Organics Fruit Tree Fertilizer,volume
76,Down to Earth 4-4-4,pack
77,Espoma BTSG25 Granular Bio Tone Starter,pack
78,AeroGarden Liquid Nutrients,volume
79,Adv Nutrients Bud Candy,pack
80,Mgso4.7 H20 Fertilizer,pack
81,X-Humate Soluble Organic Fertilizer,pack
82,NPK 15-15-15 Compound Fertilizer,pack
83,DAP Fertilizer,volume
84,NPK 18-18-0 Compound Fertilizer,pack
85,Espoma Holly-Tone Plant Food,mass
86,GS Plant Foods Liquid Fish Organic,mass
87,Nano Urea Liquid Fertilizer,mass
88,Kiero Soilmoist Nitrogreen,pack
89,Safer Brand 94AH Azalea & Holly Restore Fertilizer,pack
90,Neem Coated Urea N 46,mass
91,Atlas Perfect Gro 14-14-14,pack
92,Atlas Super Gro 16-20-0,mass
93,Osmocote Smart-Release Plant Food,pack
94,Schultz Liquid Fertilizer,volume
95,Espoma Rock Phosphate,pack
96,NPK RAW Phosphorus,pack
97,Grow Fast Liquid Fertilizer,mass
98,Jobes 02011,volume
99,Jobes Organics 04226,volume
100,Bonide 775 Copper Fungicide Rtu Natural,volume
